N_opt,avg_expH,std_expH,avg_expH_enhanced,std_expH_enhanced,avg_expH_enhanced_SDPvalue,std_expH_enhanced_SDPvalue,N,N_meas,Initial_state
0,-6.998624491032254,3.76822190084106e-16,-6.998624491032254,3.76822190084106e-16,-6.998624491032254,3.76822190084106e-16,8,10,HF
1,-4.708666666666668,0.27054645934971444,-4.620000000000002,0.31682592486516414,-10.000003681466632,3.938085348192939e-06,8,10,HF
2,-3.512666666666666,0.3572598058680668,-3.813333333333334,0.313887453290719,-10.000005967394353,4.4821341040565774e-06,8,10,HF
3,-2.3266666666666667,0.4336655137058719,-3.6333333333333333,0.35928942217784376,-9.999997722475499,4.236397856046594e-06,8,10,HF
4,-2.0153333333333334,0.4258723961209247,-3.728666666666667,0.3884075866063037,-10.000007033047432,4.374451570331941e-06,8,10,HF
5,-1.9926666666666675,0.3008791414800597,-3.332,0.41012947549117545,-10.000005057519981,3.899685201747199e-06,8,10,HF
6,-1.376,0.3894463762830513,-2.469333333333333,0.4308429360631964,-9.999997122973753,5.4721581119969214e-06,8,10,HF
7,-1.0533333333333337,0.40637803965164154,-2.657333333333333,0.3362354201713106,-10.000008740452678,4.123615455651547e-06,8,10,HF
8,-1.6006666666666667,0.3620159480833222,-2.134,0.3782315457788023,-10.000006205937384,5.036756716169607e-06,8,10,HF
9,-0.8720000000000002,0.3637622666889278,-1.8119999999999998,0.38936616299941745,-10.000005938554052,6.346864050827393e-06,8,10,HF
10,-1.6966666666666668,0.34369786473328895,-1.8066666666666662,0.46145566778763625,-10.000004341954947,5.691138400196951e-06,8,10,HF
11,-0.9013333333333332,0.3865953497449813,-1.6566666666666665,0.39158963781546163,-9.9999992949191,6.478295518804889e-06,8,10,HF
12,-0.28800000000000003,0.3958571684051936,-2.3713333333333337,0.4257699013421321,-9.99999858404505,4.75898339467399e-06,8,10,HF
13,-1.0153333333333332,0.36352497698079683,-1.9533333333333334,0.3786830982350399,-10.000009494729392,5.986349290608152e-06,8,10,HF
14,-1.4233333333333333,0.4189057173159612,-1.9879999999999998,0.3848667994687686,-10.000004334005737,4.957156874088817e-06,8,10,HF
15,-0.9293333333333333,0.33966341509729236,-1.4666666666666666,0.45257289161219344,-10.00000994950438,7.14341173171711e-06,8,10,HF
16,-1.484666666666667,0.4087914002139587,-0.8326666666666667,0.40829236801314056,-10.000012033685548,6.857258262225066e-06,8,10,HF
17,-0.6606666666666666,0.37544603399749005,-1.8000000000000003,0.3790631726887866,-10.000005558232935,6.104687074240261e-06,8,10,HF
18,-1.182,0.3990747187070501,-2.3293333333333335,0.4167788009110934,-10.000010288421466,6.1449182352201e-06,8,10,HF
19,0.2261904761904762,0.39365503389933393,-1.6326666666666665,0.42010632516595653,-10.000012563088138,5.15422713807314e-06,8,10,HF
20,-0.09066666666666666,0.344653178330526,-1.6013333333333333,0.3482629402557147,-10.000003947364968,4.598266199933731e-06,8,10,HF
0,-6.998422278722822,2.51214793389404e-16,-6.998422278722822,2.51214793389404e-16,-6.998422278722822,2.51214793389404e-16,8,25,HF
1,-6.586619047619049,0.24059875132328096,-6.892571428571428,0.24817085622117482,-9.985756062539833,0.00868785704336084,8,25,HF
2,-4.7495238095238115,0.276355911044365,-5.946571428571429,0.2863971218137849,-9.992350594055402,0.001862470777965885,8,25,HF
3,-4.693666666666667,0.30755398552710295,-5.642857142857143,0.28308673542439716,-9.974464842934502,0.009469682527757402,8,25,HF
4,-3.893238095238095,0.36318913296498134,-5.490380952380951,0.31380322242390707,-9.991703400249602,0.0028125591243114384,8,25,HF
5,-3.184111111111113,0.31721708260368137,-4.22068253968254,0.317776163047132,-9.976845300131124,0.009408396301790188,8,25,HF
6,-3.203523809523809,0.3759034181451967,-4.776666666666666,0.34729488473263065,-9.995303308805285,0.0015878052629905582,8,25,HF
7,-3.0733333333333324,0.3195111132244431,-3.964047619047619,0.3890561650282453,-9.9868030625696,0.005104244295282714,8,25,HF
8,-2.715904761904761,0.3696696965334694,-3.544412698412699,0.34074463089238155,-9.99500160639556,0.002373426738283922,8,25,HF
9,-2.4809523809523815,0.3912390457632076,-2.7818571428571426,0.317722831151811,-9.994279265946751,0.0015093811372812842,8,25,HF
10,-2.2801904761904765,0.38926535516880234,-3.4048571428571432,0.3749451476738595,-9.982222828881092,0.009664385379042318,8,25,HF
11,-3.0480952380952373,0.3701799280597504,-2.3298095238095238,0.43921327439885427,-9.987642794709828,0.0052502735853750815,8,25,HF
12,-2.716380952380953,0.3511687298513306,-2.6413968253968254,0.33343927217526875,-9.979119223461327,0.008218952671574244,8,25,HF
13,-2.285269841269842,0.37089652652561056,-2.2408571428571435,0.32538573906007845,-9.979727902726923,0.007876900717925189,8,25,HF
14,-1.8402857142857147,0.31581714075483275,-1.9293809523809522,0.3558265368243212,-9.988132339879082,0.007725891569692423,8,25,HF
15,-2.0467619047619046,0.3753725149616873,-2.8214761904761905,0.3828301132960396,-9.987509296444415,0.0064258297114417225,8,25,HF
16,-1.9055714285714285,0.42606146283532687,-1.999380952380953,0.36126321463641037,-9.991528860561385,0.004695544858013009,8,25,HF
17,-1.9369047619047617,0.32250243367747033,-1.886777777777778,0.3343636545281017,-9.992625299885935,0.003336694042951311,8,25,HF
18,-2.3136190476190475,0.29070323710528595,-1.6070476190476188,0.3695728119202732,-9.982064631720494,0.007756113895282848,8,25,HF
19,-0.9831746031746033,0.41152081074594116,-1.9779047619047616,0.3870588618539595,-9.982538890030881,0.0072490015094556,8,25,HF
