N_opt,avg_expH,std_expH,avg_expH_enhanced,std_expH_enhanced,avg_expH_enhanced_SDPvalue,std_expH_enhanced_SDPvalue,N,N_meas,Initial_state
0,-5.999528876370693,3.76822190084106e-16,-5.999528876370693,3.76822190084106e-16,-5.999528876370693,3.76822190084106e-16,7,10,HF
1,-4.440000000000001,0.28537538630917536,-3.728666666666667,0.3347529901949263,-8.485279703718527,5.619092422551295e-06,7,10,HF
2,-2.2299999999999995,0.3768232712794922,-3.4019999999999997,0.33670086954974676,-8.48528788541169,6.258252658995327e-06,7,10,HF
3,-1.9799999999999998,0.317267500174012,-3.3846666666666665,0.33157564580181226,-8.485289625723743,4.974720811341786e-06,7,10,HF
4,-1.2766666666666666,0.3497176639011024,-3.077333333333333,0.3336044763888319,-8.485284442068512,6.122702005030514e-06,7,10,HF
5,-1.6486666666666667,0.32627488070303207,-2.7826666666666666,0.3440610281783031,-8.485290873211952,6.499449471360706e-06,7,10,HF
6,-1.192,0.3158235231545899,-2.2566666666666664,0.4132045498297423,-8.485300895228722,6.908217210511605e-06,7,10,HF
7,-1.5605714285714285,0.34639727994826325,-2.63,0.2685471198049898,-8.485284643236504,6.284017644223364e-06,7,10,HF
8,-1.1993333333333334,0.3558857369687323,-2.18,0.30629832951987623,-8.48528935628392,6.545157764903039e-06,7,10,HF
9,-1.1466666666666665,0.3537620041151332,-2.3859999999999992,0.31665345937370293,-8.485295652334358,6.1583877832547405e-06,7,10,HF
10,-0.93,0.35471710167712833,-1.724,0.32268462759928446,-8.485294891374169,5.777822606145527e-06,7,10,HF
11,-0.8166666666666665,0.32565318975867563,-1.933333333333333,0.3397057550292606,-8.48529381742561,6.628711683036906e-06,7,10,HF
12,-1.5246666666666673,0.35324629116555806,-1.9893333333333327,0.31622135706916876,-8.48528692079764,5.801254369389741e-06,7,10,HF
13,-0.5066666666666666,0.36117339633785617,-1.1566666666666667,0.3263743590146478,-8.485287528873203,7.789188452623455e-06,7,10,HF
14,-1.026,0.35764077570160324,-1.1693333333333336,0.3486964168314769,-8.485301694905448,5.0200908118262885e-06,7,10,HF
15,-0.5166666666666666,0.33430691155151293,-0.286,0.4057148314326757,-8.485298783384131,8.203584761349856e-06,7,10,HF
