N_opt,avg_expH,std_expH,avg_expH_enhanced,std_expH_enhanced,avg_expH_enhanced_SDPvalue,std_expH_enhanced_SDPvalue,N,N_meas,Initial_state
0,1.9999999999999998,1.3322676295501878e-16,1.9999999999999998,1.3322676295501878e-16,1.9999999999999998,1.3322676295501878e-16,3,10,++
1,1.64,0.19497692171126305,1.4666666666666668,0.2013289182738866,-2.8284268507498185,3.8582711721850335e-07,3,10,++
2,-1.2933333333333332,0.26420194296535116,0.96,0.256,-2.8284266511033604,1.4377993096345293e-06,3,10,++
3,-0.7866666666666666,0.2932605970425924,0.6666666666666667,0.26127890589687236,-2.8284217546768304,2.840211230109443e-06,3,10,++
4,-0.8933333333333334,0.3392645640859718,0.06666666666666668,0.2758421448743627,-2.828424222502715,2.329543173200452e-06,3,10,++
5,-0.26666666666666666,0.32605384695033285,-0.12,0.20731511173948597,-2.8284266734576393,3.81049601225935e-07,3,10,++
6,-0.4133333333333333,0.29949884065811594,-0.14666666666666667,0.3924079509897831,-2.8284259559097493,8.748409115292568e-07,3,10,++
7,-0.33333333333333326,0.28095076674273967,-0.4666666666666666,0.27712812921102037,-2.828425336769742,1.8869079800774718e-06,3,10,++
8,-0.7600000000000001,0.37215050718761616,-0.46666666666666673,0.3172100600898752,-2.828425398176204,1.3779581140000003e-06,3,10,++
9,-0.9333333333333335,0.30579586509812573,-0.5866666666666667,0.30769682047972696,-2.828426178940926,4.899075532660643e-07,3,10,++
10,-0.7333333333333333,0.29089898972361905,-0.3066666666666667,0.28839479113804317,-2.8284272347353836,2.448443856312666e-07,3,10,++
11,-0.68,0.3453719412137845,-0.6,0.3238655413730965,-2.8284254731021736,1.5336200071022223e-06,3,10,++
12,-0.8133333333333332,0.32280988557078333,-0.5866666666666667,0.33374907407278964,-2.828426969574058,5.850180932106098e-07,3,10,++
13,-0.4,0.3841296077570115,-0.4533333333333333,0.23991109464410626,-2.8284282766700066,1.2548877995978091e-06,3,10,++
14,-0.8,0.23551362310207594,-0.5333333333333333,0.2815828277592384,-2.8284290304728614,2.759779128327009e-06,3,10,++
15,-1.16,0.36956190279843504,-0.13333333333333336,0.26263620804789617,-2.8284260376865693,6.157570538186354e-07,3,10,++
16,-0.6266666666666667,0.2971389499132612,-0.7733333333333333,0.27758962516635954,-2.828425361869403,8.411543297800048e-07,3,10,++
17,-0.7066666666666666,0.34010194550065914,-0.72,0.30444412003226834,-2.828427995973216,7.240346933744746e-07,3,10,++
18,-0.3733333333333333,0.3240411496502669,0.06666666666666667,0.30753500252455457,-2.828423300784493,2.5111881754576695e-06,3,10,++
19,0.0,0.35327043465311386,-0.2533333333333333,0.3395578824818466,-2.828426299602082,2.390273462973054e-07,3,10,++
20,-0.2933333333333333,0.2102443023405549,-0.4533333333333332,0.367032544727152,-2.828428665822802,1.2278088004867912e-06,3,10,++
0,-2.0,0.0,-2.0,0.0,-2.0,0.0,3,10,HF
1,-1.36,0.32926585003610687,-1.08,0.29228905023775503,-2.828427323409555,2.5694600039889686e-06,3,10,HF
2,-1.04,0.3856630653822063,-1.5066666666666666,0.2393472605047134,-2.8284263553013913,2.3491306593225447e-07,3,10,HF
3,-1.1733333333333333,0.2713718236417825,-1.16,0.30117990194123734,-2.8284269831805635,4.035917750562634e-07,3,10,HF
4,-0.8000000000000002,0.33678215840840237,-2.0133333333333336,0.3019816035603641,-2.8284267354933412,3.945798023640321e-07,3,10,HF
5,-0.45333333333333337,0.3068868774574038,-1.04,0.41153155677568903,-2.8284263868827395,4.1775007761089203e-07,3,10,HF
6,-1.0666666666666667,0.24873010808236842,-0.8666666666666667,0.39866443700602816,-2.828426364285322,4.6167046861186477e-07,3,10,HF
7,-0.5333333333333333,0.2834705550062573,-0.76,0.2582126599874177,-2.8284266788309433,2.49452796514375e-07,3,10,HF
8,-0.3066666666666666,0.29569954721342107,-0.9333333333333335,0.33730961708462714,-2.8284256266333268,1.098508216232894e-06,3,10,HF
9,-0.3466666666666666,0.35451625883417215,-0.92,0.24893015530911922,-2.8284247791146733,1.4941747207178763e-06,3,10,HF
10,-0.26666666666666666,0.236267268622258,-0.6533333333333334,0.32848744268236496,-2.8284265177506853,4.2623139483030463e-07,3,10,HF
11,-0.64,0.25292598829609336,-0.88,0.35521761718072986,-2.828425231321296,1.3150906396469086e-06,3,10,HF
12,-0.7866666666666666,0.3803530523664092,-0.9466666666666665,0.28452221159144825,-2.82842492247299,2.8871242750970716e-06,3,10,HF
13,-0.9866666666666666,0.23053946396321057,-1.0266666666666666,0.35971346621690137,-2.8284270639746016,6.704398780986502e-07,3,10,HF
14,-0.07999999999999997,0.27082097407697214,-0.8799999999999999,0.32707729293785515,-2.828426983870247,2.9167279646329615e-07,3,10,HF
15,-0.34666666666666673,0.32848744268236496,-1.3733333333333335,0.28740679648655953,-2.8284257502842265,7.420207339194458e-07,3,10,HF
16,-1.1733333333333333,0.3477521467303338,-0.7466666666666666,0.29168019016267344,-2.828428344832571,6.858430883193648e-07,3,10,HF
17,-0.4266666666666667,0.34072863102474965,-0.52,0.2835207223467096,-2.8284252792974653,1.349610459785779e-06,3,10,HF
18,-0.56,0.3963029144480268,-0.6666666666666667,0.24657656011875906,-2.8284255006192627,1.2205502030049756e-06,3,10,HF
19,-0.36,0.348160882351823,-0.6266666666666666,0.25038281801185075,-2.8284238978235856,2.260148825193337e-06,3,10,HF
20,-0.9333333333333335,0.3132624033192195,-1.0533333333333332,0.28576913759186806,-2.8284273607865447,3.817565310445926e-07,3,10,HF
0,1.9999999999999998,1.3322676295501878e-16,1.9999999999999998,1.3322676295501878e-16,1.9999999999999998,1.3322676295501878e-16,3,100,++
1,2.0484040404040402,0.08818433208260187,2.082626262626263,0.06570755440469794,-1.998676931696385,0.023083622224773937,3,100,++
2,-1.732808080808081,0.10758653137115386,0.7892121212121214,0.12300756081788418,-2.073135416436945,0.07777971343328341,3,100,++
3,-2.064282828282828,0.0779482194918315,0.10884848484848483,0.14981670294454955,-2.4194152422771764,0.06764205772879414,3,100,++
4,-1.8496969696969696,0.1232590532361538,-0.6834747474747475,0.18167380018176094,-2.574640493770019,0.0568078127976432,3,100,++
5,-1.6414545454545455,0.11380633365252865,-0.5581818181818181,0.1757141012062438,-2.5907146991097263,0.061106866249241464,3,100,++
6,-1.8523636363636362,0.12248297660992995,-1.002909090909091,0.12342697420512465,-2.708399562231812,0.022364630603534896,3,100,++
7,-1.6439999999999997,0.16021820729104533,-0.8014141414141414,0.1513254246466041,-2.722796988075192,0.032315337522974504,3,100,++
8,-1.7267474747474751,0.11205148611808458,-1.0468686868686867,0.1772748994082584,-2.745600100706949,0.029295668682127157,3,100,++
9,-1.5701818181818181,0.17214992049672245,-1.0027070707070707,0.15893798872764725,-2.7068301369788954,0.04609497012295051,3,100,++
10,-1.6626666666666667,0.18350827931926247,-1.0169292929292932,0.1378884271466812,-2.702626971587818,0.04055159618295741,3,100,++
11,-1.2776969696969698,0.19164206611798146,-1.3147474747474746,0.12402833488481808,-2.8000590558384157,0.008409663274973752,3,100,++
12,-1.1947878787878787,0.16381642349306924,-1.475030303030303,0.1339671317622834,-2.80197963700702,0.008366914367426613,3,100,++
13,-1.645090909090909,0.18528495474168208,-1.510424242424242,0.13082321313353446,-2.7958680164332104,0.014254025961377828,3,100,++
14,-1.9619797979797977,0.16634466481218574,-1.629131313131313,0.1644343746947919,-2.790006612420865,0.013241065977512493,3,100,++
15,-1.6613333333333333,0.14460573344472633,-1.4493333333333331,0.13522661536212346,-2.8045639908419866,0.006782766734383357,3,100,++
16,-1.6572525252525256,0.16010610419197221,-1.4718787878787878,0.12481488456362795,-2.7850161345773774,0.015219731298113794,3,100,++
17,-1.8133333333333335,0.1315534087631653,-1.659070707070707,0.12619530643323865,-2.8086279366405806,0.006553899322862984,3,100,++
18,-1.5073939393939397,0.13858994274984376,-1.5831919191919195,0.12133020349347219,-2.799706776721804,0.008656507489342252,3,100,++
19,-1.4787070707070706,0.148851236772508,-1.5810505050505048,0.14122596750081468,-2.778895476375114,0.021032587972181736,3,100,++
20,-1.160040404040404,0.17994562617851392,-1.6498585858585857,0.109419839011344,-2.8124733164661446,0.00478689252546151,3,100,++
0,-1.9999999999999998,4.4408920985006264e-17,-1.9999999999999998,4.4408920985006264e-17,-1.9999999999999998,4.4408920985006264e-17,3,100,HF
1,-2.0900606060606055,0.12371210039154383,-2.2374141414141415,0.08459215692342796,-2.769395882830685,0.01750165689479323,3,100,HF
2,-1.72969696969697,0.09821832467575503,-2.006989898989899,0.08825559379286418,-2.8089022110584017,0.010006445284441135,3,100,HF
3,-1.8023838383838382,0.1384269888339294,-2.013090909090909,0.15705955832985496,-2.7967557039654354,0.011927746583826873,3,100,HF
4,-1.741090909090909,0.1343175637883845,-1.8022222222222217,0.11378433463659658,-2.7943644139363415,0.008486789258710723,3,100,HF
5,-1.530949494949495,0.13793708471199098,-1.9437575757575758,0.13012109412705833,-2.817781482528552,0.004369255826627215,3,100,HF
6,-1.6818181818181819,0.11103321420028958,-1.9700606060606063,0.09931146911184704,-2.8120708254113227,0.004602944357792184,3,100,HF
7,-1.3882020202020202,0.18411999937536025,-1.9416969696969695,0.13368816599066025,-2.8153017413863717,0.006552880742459716,3,100,HF
8,-1.5688888888888888,0.17688956259590868,-1.8599191919191917,0.13106232109580268,-2.813214514040595,0.003917482545027283,3,100,HF
9,-1.465050505050505,0.18674417910540628,-1.867919191919192,0.12932940495581774,-2.814317534007575,0.0035313676273747187,3,100,HF
10,-1.599878787878788,0.16882586731948368,-2.0751919191919193,0.11338403345689729,-2.818464720854189,0.0028995622748397404,3,100,HF
11,-1.611313131313131,0.16467191970296371,-2.0296565656565657,0.10254755400577872,-2.8054412265547386,0.017336702780797637,3,100,HF
12,-1.5379797979797976,0.1850947324854983,-1.9433939393939392,0.1261986615189179,-2.819061343667048,0.0025721919072924948,3,100,HF
13,-1.3267878787878788,0.2334436373674908,-1.8719191919191926,0.17199987186874593,-2.800541946679524,0.01128822277204872,3,100,HF
14,-1.618868686868687,0.174874220118212,-1.9218585858585857,0.09892046016389548,-2.821395616569839,0.0028252861712991482,3,100,HF
15,-1.6873939393939392,0.14344893503813522,-1.973535353535354,0.12851146411324457,-2.816830870033516,0.00409840081074571,3,100,HF
16,-1.528444444444445,0.12881704948308192,-1.7564848484848485,0.1399833525455759,-2.818123179990026,0.003470856826344352,3,100,HF
17,-1.5595555555555558,0.1419367828919644,-1.7119191919191923,0.1272659930878355,-2.811158245083776,0.007112134655804447,3,100,HF
18,-1.7063838383838386,0.14705951472563636,-1.5729292929292926,0.14266565398746345,-2.7667660912596443,0.024394606989807863,3,100,HF
19,-1.5734545454545454,0.16601843225676782,-1.568606060606061,0.14741047355428522,-2.758397402414673,0.027466313130717714,3,100,HF
20,-1.734060606060606,0.15798950622473312,-1.6883636363636365,0.11953229427461691,-2.8064654253409587,0.0074775532362572296,3,100,HF
