N_opt,avg_expH,std_expH,avg_expH_enhanced,std_expH_enhanced,avg_expH_enhanced_SDPvalue,std_expH_enhanced_SDPvalue,N,N_meas,Initial_state
0,6.999999999999989,1.7763568394002506e-16,6.999999999999989,1.7763568394002506e-16,6.999999999999989,1.7763568394002506e-16,8,10,++
1,3.5466666666666673,0.4791214181534085,4.897333333333334,0.5688691941035302,-10.000015977414138,9.846601046419107e-06,8,10,++
2,-1.228,0.59701682090578,2.2666666666666666,0.5151051672555162,-9.999993062864752,9.424172661457002e-06,8,10,++
3,-2.78,0.5092670113888086,1.4813333333333336,0.5242020984315114,-10.000022689901469,9.721980441221136e-06,8,10,++
4,-2.042666666666667,0.48039435652157464,1.333333333333333,0.579425002337087,-9.999990199077695,9.439755123960725e-06,8,10,++
5,-1.4413333333333334,0.4523962078630731,0.18000000000000005,0.5646568279347496,-10.000024978564472,1.0190818346738253e-05,8,10,++
6,-1.86,0.5155088101413334,-0.3346666666666666,0.4547838754104342,-10.000000795184711,5.763122460484997e-06,8,10,++
7,-1.5,0.5026153819992205,-0.28133333333333327,0.5993035365229284,-10.000000466607366,8.444933522551342e-06,8,10,++
8,-2.08,0.5791273128116514,-0.4146666666666667,0.6016128840227928,-9.999998879150448,7.159248407331772e-06,8,10,++
9,-0.7733333333333333,0.5066561402415295,-1.0200000000000002,0.6801516170841779,-10.00000227671429,9.051174069799226e-06,8,10,++
10,-0.456,0.5153008872925066,-1.0053333333333334,0.4983695371464387,-9.999983415516711,9.577450179861333e-06,8,10,++
11,-0.5666666666666665,0.49540107208424794,-1.6266666666666665,0.546445483709644,-10.000000117292407,9.534369738010588e-06,8,10,++
12,-1.1773333333333336,0.3949715939153093,-0.82,0.6349047172607871,-10.000017164190837,7.967964630132896e-06,8,10,++
13,-1.1800000000000002,0.43725609073961313,-1.1840000000000004,0.5711403641448883,-10.000009868040056,9.718854695763451e-06,8,10,++
14,-1.653333333333333,0.409000950827474,-1.26,0.6775826312873009,-10.000019712570953,9.717963112199691e-06,8,10,++
15,-0.36,0.5275250389002089,-0.468,0.5147201353918242,-9.999998083395182,6.464075549247647e-06,8,10,++
16,-0.7866666666666667,0.4976853088716471,-1.0573333333333335,0.5402798287307544,-10.000009208495154,8.533249609885452e-06,8,10,++
17,-1.0199999999999998,0.4998061846578354,-0.6479999999999998,0.45971616363916457,-10.000013485905608,9.764639701061562e-06,8,10,++
18,-0.06400000000000007,0.4219780721001191,-0.8080000000000002,0.44873463576297884,-10.000012802661335,7.2772078072447676e-06,8,10,++
19,-0.6666666666666667,0.40976958295011495,-0.40666666666666673,0.6435374460312657,-10.000010477557948,1.0271995909929549e-05,8,10,++
20,-0.7066666666666666,0.5504164080241633,-1.3066666666666669,0.5981215038211997,-10.000005336414423,6.862093991956984e-06,8,10,++
0,-6.998549829005402,3.552713678800501e-16,-6.998549829005402,3.552713678800501e-16,-6.998549829005402,3.552713678800501e-16,8,10,HF
1,-5.1146666666666665,0.3522124611335859,-4.585333333333333,0.4708312460130723,-10.00001173758747,7.434812671114367e-06,8,10,HF
2,-2.8666666666666663,0.48110982807116576,-3.9560000000000004,0.489181520501337,-10.000001061948462,4.713027664140975e-06,8,10,HF
3,-2.753333333333333,0.44940652222928656,-3.8280000000000003,0.5199749737567505,-9.99999695067544,7.429784583318768e-06,8,10,HF
4,-2.4066666666666667,0.5921020932988574,-3.0439999999999996,0.5534143555139213,-10.000002313151246,6.7448796168844915e-06,8,10,HF
5,-1.2920000000000003,0.6754653507027581,-2.3346666666666667,0.5783362497524928,-9.999990668312298,9.015566061260742e-06,8,10,HF
6,-1.4573333333333336,0.659493462186447,-2.616,0.4702004111723709,-10.000006182345965,6.9455794169129346e-06,8,10,HF
7,-1.0000000000000002,0.5042045440317077,-2.9320000000000004,0.5388365408709564,-9.999995397304355,7.033857399261964e-06,8,10,HF
8,-2.4333333333333336,0.5730231719185146,-3.06,0.7225190501140974,-10.000007219577638,6.493448817004456e-06,8,10,HF
9,-0.8026666666666666,0.48697495258426216,-2.5453333333333323,0.44583955260459635,-9.999999015741068,6.3859672893908495e-06,8,10,HF
10,-1.7613333333333336,0.6593456149850395,-1.6999999999999997,0.4930629889893491,-10.00000777949657,9.06480713658003e-06,8,10,HF
11,-0.9266666666666667,0.4433007506823731,-0.8933333333333331,0.48724896670547746,-10.000008164124091,6.888851139994538e-06,8,10,HF
12,-0.8186666666666668,0.554634870883539,-1.7506666666666666,0.4957960871164676,-10.000012339378955,7.201840554881366e-06,8,10,HF
13,-1.1653333333333333,0.44838665853876114,-0.8933333333333334,0.37474495030323995,-9.999999399794097,7.726375034143118e-06,8,10,HF
