N_opt,avg_expH,std_expH,avg_expH_enhanced,std_expH_enhanced,avg_expH_enhanced_SDPvalue,std_expH_enhanced_SDPvalue,N,N_meas,Initial_state
0,5.9999999999999964,5.329070518200751e-16,5.9999999999999964,5.329070518200751e-16,5.9999999999999964,5.329070518200751e-16,7,10,++
1,4.050666666666666,0.4626229374147181,3.586666666666667,0.47301585597102347,-8.485289636731187,1.0201264792452238e-05,7,10,++
2,-1.4200000000000004,0.4234377823902298,2.626666666666667,0.48371525140773103,-8.485323809076622,1.0936931164750663e-05,7,10,++
3,-2.248,0.5525571423441702,2.026666666666667,0.5069016998722072,-8.485284196686305,1.475110174524613e-05,7,10,++
4,-2.0733333333333333,0.5484588508822801,0.12266666666666656,0.42215413720056744,-8.485297186917752,1.0370418448443695e-05,7,10,++
5,-1.02,0.34180176190950856,-0.21599999999999994,0.5084953665253772,-8.485297214317098,9.753851775251126e-06,7,10,++
6,-1.3666666666666665,0.4645705304663414,-0.13066666666666663,0.5178516990627937,-8.485281753955675,1.2738705072455582e-05,7,10,++
7,-1.54,0.5555601777585495,-0.0386666666666666,0.4952886655499216,-8.485288700002764,1.1736455149678296e-05,7,10,++
8,-1.3506666666666667,0.42556574632416605,-0.06266666666666673,0.5275294873274858,-8.48528619490724,1.1915620537666079e-05,7,10,++
9,-0.5453333333333332,0.4635893968684884,0.15466666666666665,0.6102353061638509,-8.48528501178098,8.018498195297668e-06,7,10,++
10,-1.2666666666666668,0.4493946545694058,-0.22,0.5888384045446311,-8.485281104588173,8.660440328706799e-06,7,10,++
11,-0.1506666666666668,0.5118788745613772,-0.8733333333333333,0.5841065351838177,-8.485281733232181,1.124743635849634e-05,7,10,++
12,-0.29866666666666664,0.6245623676712448,-0.4613333333333334,0.5100193634668306,-8.485306761673954,1.5088410938471286e-05,7,10,++
13,-0.8599999999999998,0.4428874951196221,-0.74,0.43441710627255714,-8.485295674748803,1.0555144684673833e-05,7,10,++
14,-1.2186666666666666,0.5087154367183638,-0.22666666666666666,0.4408960572893948,-8.485303329500294,1.004848511009829e-05,7,10,++
15,-0.2866666666666666,0.5104699359957994,-0.06399999999999995,0.5324356445201199,-8.485289928401587,1.2752516359812126e-05,7,10,++
16,-0.8133333333333332,0.4816010335906221,-1.9359999999999997,0.5298919638316223,-8.485296783691084,1.1266757164132553e-05,7,10,++
17,-1.148,0.4483811077395855,-1.5226666666666666,0.40161327999291396,-8.485289043936751,1.0068086966786844e-05,7,10,++
18,-0.7573333333333335,0.46517674538227344,-0.03333333333333332,0.5239168721170266,-8.485289910652783,1.0693320379803142e-05,7,10,++
19,-0.7906666666666667,0.40578273332741344,-0.09999999999999995,0.35839146815241635,-8.485301420369204,9.984526989450064e-06,7,10,++
20,-1.16,0.44914536127578514,-1.2973333333333332,0.4570433288479818,-8.485296371096332,1.1077709692813611e-05,7,10,++
0,-5.998921049544092,3.552713678800501e-16,-5.998921049544092,3.552713678800501e-16,-5.998921049544092,3.552713678800501e-16,7,10,HF
1,-3.9973333333333336,0.4381046856124179,-4.296,0.5263419083109804,-8.485290902627588,7.47010352736782e-06,7,10,HF
2,-1.4733333333333334,0.6320112516579292,-2.833333333333334,0.5998696154628566,-8.485286899192046,6.840445220566478e-06,7,10,HF
3,-1.3133333333333332,0.48104700625014,-2.8666666666666663,0.5276362383309167,-8.485284182320706,7.805597983579192e-06,7,10,HF
4,-2.029333333333333,0.4858909617050585,-2.7039999999999997,0.5102481139384817,-8.485302052538293,5.8562475312081114e-06,7,10,HF
5,-1.2266666666666668,0.3903138338425745,-2.6213333333333333,0.43596077295503954,-8.485286419633937,9.3122682225615e-06,7,10,HF
6,-1.7666666666666668,0.5662351298022953,-2.4066666666666667,0.423328608897522,-8.485286542326323,7.754539854724423e-06,7,10,HF
7,-0.4600000000000001,0.4361732581338649,-2.8933333333333326,0.4314193628787037,-8.485292929537758,7.251077866264522e-06,7,10,HF
