N_opt,avg_expH,std_expH,avg_expH_enhanced,std_expH_enhanced,avg_expH_enhanced_SDPvalue,std_expH_enhanced_SDPvalue,N,N_meas,Initial_state
1,2.9424796228035337,0.042560635072996664,2.9848320625933598,0.04416817168542486,2.1520601934019363,0.01754782036862202,4,500,++
2,-1.760191212701656,0.18653669378595675,-1.1220159786439274,0.09780111941748436,-1.8922113257333495,0.07421781283404061,4,500,++
3,-3.769513850806048,0.09956900163786905,-3.7127954648027246,0.06717424080109555,-4.261282439091275,0.04368305966109567,4,500,++
4,-3.830873606008185,0.07299747111665636,-3.8054035052800934,0.060049822606964606,-4.382734791669941,0.016384962967352475,4,500,++
5,-3.694443901463865,0.08435838035762941,-3.823235637872938,0.050694866479729005,-4.3915859028477096,0.01381849766514214,4,500,++
6,-3.7033415443869164,0.06478695708077328,-3.6876479758570873,0.04739669327804376,-4.405668771604849,0.011599925092904525,4,500,++
7,-3.7342012681255365,0.06271359670812876,-3.7250278905263667,0.0531682039465447,-4.404365123373589,0.012265763052302875,4,500,++
8,-3.6172093706806545,0.07042970561966148,-3.7015954602633365,0.05927110066859091,-4.396076654805298,0.012499526582667675,4,500,++
9,-3.66891809984732,0.07334526350015882,-3.6461470351696437,0.05785930299879022,-4.411946288250979,0.011680356322593627,4,500,++
10,-3.629362933483577,0.06883556628276914,-3.737664048662235,0.05336114467566787,-4.4158310049804665,0.009312228126364246,4,500,++
1,2.969296438069058,0.03362383448402507,3.0461101522030636,0.03758629088647346,2.4494858319450996,0.0031051961062661263,4,1000,++
2,-1.3082820550582779,0.11703122934952928,-1.1732800302905317,0.11589377597117563,-1.8714968544843804,0.1032584969682963,4,1000,++
3,-3.8805266389543664,0.03302053760093027,-3.9603943111257736,0.034087187465945884,-4.356956776508535,0.019444250095973108,4,1000,++
4,-3.8917848274606333,0.056799799711204836,-3.919891743297281,0.04559125941378861,-4.3761459172556005,0.010502380392971163,4,1000,++
5,-3.9381225339248234,0.05042793396425962,-3.84909509986499,0.054386841389952166,-4.376568812375478,0.00866647893792374,4,1000,++
6,-3.9193658442212773,0.0383595762154271,-3.8146298820503493,0.039696629637818615,-4.384942657741724,0.008725289761292804,4,1000,++
7,-3.8228778085944515,0.06278439419215502,-3.842134384688868,0.03182677834043938,-4.392927374336012,0.007630254382324768,4,1000,++
8,-3.8864686953011214,0.04845877355359931,-3.815723209395713,0.04880303217003979,-4.395596367686079,0.008843801098297941,4,1000,++
9,-3.8471319651979115,0.05506374706178666,-3.767961524886208,0.05023761210381128,-4.387339619380137,0.009486105238531408,4,1000,++
10,-3.833803719781956,0.0597158601170677,-3.8097900635955493,0.039722519016690425,-4.3828678789742925,0.009923737062316787,4,1000,++
1,2.973379155061094,0.02492375846965198,3.0204587157251668,0.022528914403987195,2.610674968864381,0.010034287115783998,4,2000,++
2,-1.1298961638676064,0.020578425682615892,-1.0615859128794163,0.07963555271338506,-1.7704030590133102,0.07688904458681624,4,2000,++
3,-3.9301509355824407,0.038230767839878776,-3.8342176520517235,0.0579298009468194,-4.18594613267074,0.04759517342890231,4,2000,++
4,-4.05789816794557,0.03953480509072588,-3.936820795966054,0.02419634814169113,-4.326303788338883,0.01001462387906676,4,2000,++
5,-3.998186939249314,0.03432134801991556,-3.940350218973221,0.025425222221664618,-4.349538489006208,0.008937085645988269,4,2000,++
6,-3.9632344426402564,0.037477900582866555,-3.9136654843721765,0.024438563216988538,-4.353438390719543,0.007507650312765226,4,2000,++
7,-4.000198010508967,0.03107585423151981,-3.9109075028247564,0.032167856133952885,-4.354740546964786,0.007375380351143613,4,2000,++
