N_opt,avg_expH,std_expH,avg_expH_enhanced,std_expH_enhanced,avg_expH_enhanced_SDPvalue,std_expH_enhanced_SDPvalue,N,N_meas,Initial_state
0,4.999999999999998,5.02429586778808e-16,4.999999999999998,5.02429586778808e-16,4.999999999999998,5.02429586778808e-16,6,10,++
1,3.806,0.25521004856566454,3.431333333333334,0.25416077151633326,-7.2110995686245545,9.307821621358965e-06,6,10,++
2,-0.9633333333333332,0.3438762697379522,1.7533333333333334,0.32000833322482924,-7.211096935926811,7.490094970130183e-06,6,10,++
3,-1.2133333333333336,0.3304891996890536,1.2506666666666666,0.2286467241060857,-7.211089860813089,7.338284383555325e-06,6,10,++
4,-1.4739999999999998,0.3083580746830253,0.7473333333333333,0.3769339346770348,-7.207555495613029,0.0035006666695977006,6,10,++
5,-0.7566666666666666,0.28375302249981016,0.3633333333333333,0.2906960994272579,-7.211103608903832,7.085100708753489e-06,6,10,++
6,-0.74,0.26800331672906164,-0.17799999999999996,0.3357004087641903,-7.211011205373296,9.556350982091197e-05,6,10,++
7,-1.4346666666666668,0.31878374418335004,-0.5573333333333333,0.29343034759357944,-7.211104197123617,7.2344955614462875e-06,6,10,++
8,-1.0893333333333333,0.32951606266698985,-1.422,0.31298222881747706,-7.211087944225902,5.841806556055364e-06,6,10,++
9,-1.0193333333333334,0.31544971777518593,-1.1159999999999999,0.4002057692959682,-7.211098393867986,7.1757269787563665e-06,6,10,++
10,-0.8906666666666669,0.30361384831540356,-0.8033333333333335,0.3094687203723324,-7.211100258340954,6.631488950726867e-06,6,10,++
11,-1.0000000000000002,0.3011459594430728,-0.5099999999999999,0.2977101498661632,-7.211096304033155,7.009867673440207e-06,6,10,++
12,-1.0533333333333332,0.30791196433035495,-0.6066666666666667,0.30080484629665716,-7.211112103619946,6.990472948489279e-06,6,10,++
13,-0.6766666666666669,0.33284664470126313,-0.31133333333333335,0.3799983742655282,-7.211012815022006,9.477160959756491e-05,6,10,++
14,-1.3473333333333335,0.33256055755973896,-1.2606666666666666,0.3138317879232617,-7.211103592979751,6.01833386881671e-06,6,10,++
15,-0.7566666666666667,0.26150037178643637,-1.0446666666666666,0.3264347612208806,-7.210391777661918,0.0006086211320710961,6,10,++
16,-1.2813333333333332,0.35728502160973197,-0.9653333333333333,0.294011277183565,-7.21109914054216,7.765519660256103e-06,6,10,++
17,-0.7566666666666666,0.3874477742583867,-1.01,0.334677622662632,-7.21109983609222,6.417086330314456e-06,6,10,++
18,-0.8246666666666669,0.26116458837718065,-1.2379999999999998,0.321544895776624,-7.2060849172924755,0.004969244341347272,6,10,++
19,-0.7166666666666666,0.3074717692551446,-0.89,0.36300015304557537,-7.211101624221725,5.7380865733879035e-06,6,10,++
20,-0.7126666666666667,0.3613405780331533,-1.1626666666666665,0.3058796277404996,-7.211099121233907,5.457492909207193e-06,6,10,++
0,4.999999999999998,5.02429586778808e-16,4.999999999999998,5.02429586778808e-16,4.999999999999998,5.02429586778808e-16,6,25,++
1,4.963904761904762,0.2479172962091133,4.926190476190476,0.24749906433777188,-7.166018673405599,0.010635665303349206,6,25,++
2,-1.5471269841269841,0.35057272860250915,2.820380952380952,0.28207839054542694,-7.185202513785521,0.006901227526893104,6,25,++
3,-3.2372380952380944,0.24561111492203,1.3000952380952382,0.2851290670075707,-7.163575037537769,0.014435757810050211,6,25,++
4,-2.3691904761904756,0.27359508298415486,0.7514761904761903,0.2955379344567256,-7.178891045956484,0.011582649003744961,6,25,++
5,-2.582,0.2989616888977104,0.5600952380952381,0.3070020316506744,-7.1904727752725135,0.006958861002059509,6,25,++
6,-2.3290476190476186,0.26586983840792605,-0.5470952380952381,0.270468823591828,-7.190251018535206,0.007923751880017446,6,25,++
7,-2.1766190476190483,0.32537924630022497,-1.090857142857143,0.2779499894657147,-7.18916818993586,0.008200618353091885,6,25,++
8,-2.1310793650793642,0.31803139853007467,-0.8245238095238094,0.32249835556542544,-7.199002652727279,0.004569864761212296,6,25,++
9,-1.634285714285714,0.31413938873620345,-0.622952380952381,0.35626880829532687,-7.168870314588881,0.016079020421024562,6,25,++
10,-1.6640000000000004,0.3383329321401059,-1.2881428571428573,0.2878378897023449,-7.1951448236042985,0.007517212567735448,6,25,++
11,-1.7496984126984125,0.3155220774374847,-0.9624285714285713,0.2752598878339162,-7.174970683050464,0.013422353107551072,6,25,++
12,-1.3002222222222226,0.24509312100551237,-1.6182857142857145,0.28721388555294775,-7.196689222590847,0.005585436696975023,6,25,++
13,-1.6796190476190476,0.24478514027195192,-1.0200000000000002,0.26007519408041146,-7.187682381413156,0.009011393547845943,6,25,++
14,-1.7957619047619042,0.3315014033959958,-1.129904761904762,0.2730718191478176,-7.1969501134382305,0.009184924325082498,6,25,++
15,-1.8644761904761902,0.29528660768865245,-1.251952380952381,0.26641212077388315,-7.189924950951463,0.008658239663495692,6,25,++
16,-1.1306190476190479,0.2909761194431045,-1.4919523809523807,0.325852552732749,-7.197625367858413,0.009000201391156305,6,25,++
17,-1.1060158730158731,0.3599697378801006,-1.1299047619047615,0.32938918361979386,-7.195854730156278,0.007195069871082848,6,25,++
18,-1.3274761904761903,0.303721805593118,-0.9335238095238096,0.3588732925291362,-7.188970590030891,0.010002474997687477,6,25,++
19,-1.1545714285714288,0.2871059191277427,-0.8326666666666667,0.31693449497381687,-7.1918305105143405,0.00854728968310576,6,25,++
20,-1.2277619047619048,0.31845898513846255,-1.3537142857142856,0.27462832570387113,-7.207773047092176,0.0017588417162644819,6,25,++
0,4.999999999999998,5.02429586778808e-16,4.999999999999998,5.02429586778808e-16,4.999999999999998,5.02429586778808e-16,6,50,++
1,5.192893883893881,0.143690919055442,5.045930735930736,0.14169475107002522,-6.786807160828196,0.03830235235739476,6,50,++
2,-2.4827085137085136,0.22934396397850976,2.795072372072371,0.18537252301831572,-6.663369563464138,0.041215827955917154,6,50,++
3,-3.45687012987013,0.23321013235602678,0.7792940392940393,0.18947664927665953,-6.7307072634179494,0.038685463238568814,6,50,++
