N_opt,avg_expH,std_expH,avg_expH_enhanced,std_expH_enhanced,avg_expH_enhanced_SDPvalue,std_expH_enhanced_SDPvalue,N,N_meas,Initial_state
0,2.9999999999999996,2.51214793389404e-16,2.9999999999999996,2.51214793389404e-16,2.9999999999999996,2.51214793389404e-16,4,10,++
1,2.2066666666666666,0.17811107645386787,2.19,0.23209241454405377,-4.472133072445679,3.5657106188098226e-06,4,10,++
2,-1.0833333333333333,0.2611619335882539,1.1300000000000001,0.20293896181419238,-4.47214742880682,4.9233271456764215e-06,4,10,++
3,-0.8733333333333333,0.26585543272822376,0.5993333333333334,0.2269184679815882,-4.472134114774423,2.0187008619920385e-06,4,10,++
4,-1.51,0.21583996128819352,0.15333333333333335,0.23251475460948948,-4.472137387064414,3.056947373612821e-06,4,10,++
5,-0.9206666666666667,0.2656963847870138,0.37333333333333335,0.25313852158672157,-4.472135441775853,3.658481591014423e-06,4,10,++
6,-1.11,0.2603676887275634,-0.09,0.2498982014963515,-4.472129083132497,4.641266900009877e-06,4,10,++
7,-0.4739999999999999,0.23752481039999915,-0.55,0.24341322889276168,-4.472137068053875,9.856117071760521e-07,4,10,++
8,-0.6240000000000001,0.24306750776961802,-0.3166666666666667,0.2289225973021352,-4.472138726388512,2.5517641023616503e-06,4,10,++
9,-0.6533333333333333,0.26144215421389105,-0.6413333333333334,0.28857898591392805,-4.47144461092731,0.0006822516521552141,4,10,++
10,-0.598,0.2627857767164054,-0.4733333333333332,0.2542247474622056,-4.472134960062256,1.6332246709691812e-06,4,10,++
11,-0.89,0.24839976740014164,-0.10600000000000001,0.25671028200851026,-4.472136358830106,2.8196151622828927e-06,4,10,++
12,-0.5033333333333334,0.24790186230307615,-1.0113333333333332,0.22205426764144337,-4.472136983697879,2.055500698900268e-06,4,10,++
13,-0.584,0.2749290655989488,-1.41,0.2566974007573032,-4.472135104904783,1.6204367701168617e-06,4,10,++
14,-0.7919999999999999,0.280481427390676,-0.48999999999999994,0.2711051456538588,-4.472135614040508,2.112066375328017e-06,4,10,++
15,-0.5866666666666667,0.2794534348012602,-1.21,0.23227426317466454,-4.47213529125752,1.9154946509754076e-06,4,10,++
16,-0.5866666666666667,0.2522009780578444,-0.8346666666666666,0.24037186006500658,-4.472138811318452,3.4056516412073254e-06,4,10,++
17,-0.5946666666666668,0.26020566224943426,-0.8066666666666668,0.28005396305394825,-4.4721311530312535,3.3854362776731917e-06,4,10,++
18,-0.9166666666666667,0.23571404521392247,-1.3566666666666665,0.2735369160542036,-4.472139080829305,2.6467588337409635e-06,4,10,++
19,-0.7,0.24553795814270524,-0.6433333333333334,0.26965039093858795,-4.472139497339787,2.5857996065776163e-06,4,10,++
20,-0.5433333333333333,0.214725147313697,-1.1300000000000001,0.25851241104957934,-4.472134791554106,3.386071538651368e-06,4,10,++
0,2.9999999999999996,2.51214793389404e-16,2.9999999999999996,2.51214793389404e-16,2.9999999999999996,2.51214793389404e-16,4,25,++
1,3.0359999999999996,0.15754178281755393,3.019333333333333,0.16565047539925745,-4.444775253877917,0.00889099655737271,4,25,++
2,-1.2346666666666666,0.2135289936076858,1.511142857142857,0.19430731019097247,-4.457728529959965,0.003712886720218132,4,25,++
3,-1.922,0.28680401360898394,0.5226666666666665,0.2226142575496886,-4.4609065417000515,0.004227799091020979,4,25,++
4,-1.7326666666666661,0.23462971299948823,0.4400952380952383,0.2487305489609078,-4.445001011151742,0.011551533029989486,4,25,++
5,-1.7180952380952383,0.2662401350732258,0.1806666666666667,0.24319921418001691,-4.466722757937001,0.002180090025393739,4,25,++
6,-2.02,0.22996424842908852,0.05019047619047618,0.24195736998258366,-4.468117476733491,0.0020237194727027942,4,25,++
7,-1.6799047619047622,0.2404504951854344,-0.22209523809523804,0.23403667600247127,-4.466324918597186,0.002397549875716666,4,25,++
